Date,Time,Deals,Price,Summ
01.06.2020,09:59:35.204,Sell,203.1,4
01.06.2020,09:59:35.204,Sell,203.1,31
01.06.2020,09:59:35.204,Buy,203.1,26
01.06.2020,09:59:35.204,Sell,203.1,2
01.06.2020,09:59:35.204,Buy,203.1,100
01.06.2020,09:59:35.204,Sell,203.1,376
01.06.2020,09:59:35.204,Buy,203.1,50
01.06.2020,09:59:35.204,Sell,203.1,10
01.06.2020,09:59:35.204,Buy,203.1,4
01.06.2020,09:59:35.204,Sell,203.1,7
01.06.2020,09:59:35.204,Buy,203.1,1
01.06.2020,09:59:35.204,Sell,203.1,119
01.06.2020,09:59:35.204,Buy,203.1,42
01.06.2020,09:59:35.204,Sell,203.1,50
01.06.2020,09:59:35.204,Buy,203.1,68
01.06.2020,09:59:35.204,Sell,203.1,2
01.06.2020,09:59:35.219,Buy,203.1,76
01.06.2020,09:59:35.219,Sell,203.1,400
01.06.2020,09:59:35.219,Buy,203.1,541
01.06.2020,09:59:35.219,Sell,203.1,7
01.06.2020,09:59:35.219,Buy,203.1,1266
01.06.2020,09:59:35.219,Sell,203.1,8
01.06.2020,09:59:35.219,Buy,203.1,760
01.06.2020,09:59:35.219,Sell,203.1,500
01.06.2020,09:59:35.219,Buy,203.1,417
01.06.2020,09:59:35.235,Buy,203.1,711
01.06.2020,09:59:35.235,Sell,203.1,75
01.06.2020,09:59:35.235,Buy,203.1,535
01.06.2020,09:59:35.235,Sell,203.1,500
01.06.2020,09:59:35.235,Buy,203.1,300
01.06.2020,09:59:35.235,Sell,203.1,795
01.06.2020,09:59:35.235,Buy,203.1,2
01.06.2020,09:59:35.235,Sell,203.1,1500
01.06.2020,09:59:35.235,Buy,203.1,10100
01.06.2020,09:59:35.235,Sell,203.1,1350
01.06.2020,09:59:35.235,Buy,203.1,3282
01.06.2020,09:59:35.235,Sell,203.1,100
01.06.2020,09:59:35.235,Buy,203.1,4677
01.06.2020,09:59:35.235,Sell,203.1,1320
01.06.2020,09:59:35.235,Buy,203.1,6354
